timestamp,place_name,num_bikes,bike_number
2025-08-16T00:54:09.395623,Erdberg U,33,345303
2025-08-16T00:54:09.395623,Erdberg U,33,345956
2025-08-16T00:54:09.395623,Erdberg U,33,345905
2025-08-16T00:54:09.395623,Erdberg U,33,345903
2025-08-16T00:54:09.395623,Erdberg U,33,345902
2025-08-16T00:54:09.395623,Erdberg U,33,345832
2025-08-16T00:54:09.395623,Erdberg U,33,345782
2025-08-16T00:54:09.395623,Erdberg U,33,345759
2025-08-16T00:54:09.395623,Erdberg U,33,345655
2025-08-16T00:54:09.395623,Erdberg U,33,346445
2025-08-16T00:54:09.395623,Erdberg U,33,346914
2025-08-16T00:54:09.395623,Erdberg U,33,346732
2025-08-16T00:54:09.395623,Erdberg U,33,347325
2025-08-16T00:54:09.395623,Erdberg U,33,347313
2025-08-16T00:54:09.395623,Erdberg U,33,347246
2025-08-16T00:54:09.395623,Erdberg U,33,347162
2025-08-16T00:54:09.395623,Erdberg U,33,347072
2025-08-16T00:54:09.395623,Erdberg U,33,347057
2025-08-16T00:54:09.395623,Erdberg U,33,347013
2025-08-16T00:54:09.395623,Erdberg U,33,347763
2025-08-16T00:54:09.395623,Erdberg U,33,347556
2025-08-16T00:54:09.395623,Erdberg U,33,347548
2025-08-16T00:54:09.395623,Erdberg U,33,348492
2025-08-16T00:54:09.395623,Erdberg U,33,348483
2025-08-16T00:54:09.395623,Erdberg U,33,348434
2025-08-16T00:54:09.395623,Erdberg U,33,348395
2025-08-16T00:54:09.395623,Erdberg U,33,348362
2025-08-16T00:54:09.395623,Erdberg U,33,348133
2025-08-16T00:54:09.395623,Erdberg U,33,348071
2025-08-16T00:54:09.395623,Erdberg U,33,348000
2025-08-16T00:54:09.395623,Erdberg U,33,348653
2025-08-16T00:54:09.395623,Erdberg U,33,348636
2025-08-16T00:54:09.395623,Media Quarter Marx,5,345711
2025-08-16T00:54:09.395623,Media Quarter Marx,5,347942
2025-08-16T00:54:09.395623,Media Quarter Marx,5,347896
2025-08-16T00:54:09.395623,Media Quarter Marx,5,348410
2025-08-16T00:54:09.395623,Media Quarter Marx,5,349204
2025-08-16T00:54:09.395623,Rennweg S,18,345915
2025-08-16T00:54:09.395623,Rennweg S,18,345894
2025-08-16T00:54:09.395623,Rennweg S,18,345818
2025-08-16T00:54:09.395623,Rennweg S,18,346352
2025-08-16T00:54:09.395623,Rennweg S,18,346340
2025-08-16T00:54:09.395623,Rennweg S,18,346273
2025-08-16T00:54:09.395623,Rennweg S,18,346087
2025-08-16T00:54:09.395623,Rennweg S,18,346915
2025-08-16T00:54:09.395623,Rennweg S,18,346842
2025-08-16T00:54:09.395623,Rennweg S,18,346628
2025-08-16T00:54:09.395623,Rennweg S,18,347479
2025-08-16T00:54:09.395623,Rennweg S,18,347983
2025-08-16T00:54:09.395623,Rennweg S,18,347736
2025-08-16T00:54:09.395623,Rennweg S,18,347685
2025-08-16T00:54:09.395623,Rennweg S,18,348416
2025-08-16T00:54:09.395623,Rennweg S,18,348144
2025-08-16T00:54:09.395623,Rennweg S,18,348095
2025-08-16T00:54:09.395623,Rennweg S,18,348871
2025-08-16T00:54:09.395623,Rochusmarkt,7,346221
2025-08-16T00:54:09.395623,Rochusmarkt,7,347994
2025-08-16T00:54:09.395623,Rochusmarkt,7,347966
2025-08-16T00:54:09.395623,Rochusmarkt,7,348121
2025-08-16T00:54:09.395623,Rochusmarkt,7,348100
2025-08-16T00:54:09.395623,Rochusmarkt,7,349074
2025-08-16T00:54:09.395623,Rochusmarkt,7,348965
2025-08-16T00:54:09.395623,Schwarzenbergplatz,6,345045
2025-08-16T00:54:09.395623,Schwarzenbergplatz,6,346416
2025-08-16T00:54:09.395623,Schwarzenbergplatz,6,346898
2025-08-16T00:54:09.395623,Schwarzenbergplatz,6,346708
2025-08-16T00:54:09.395623,Schwarzenbergplatz,6,346571
2025-08-16T00:54:09.395623,Schwarzenbergplatz,6,347962
2025-08-16T00:54:09.395623,Heumühlgasse,13,345372
2025-08-16T00:54:09.395623,Heumühlgasse,13,345242
2025-08-16T00:54:09.395623,Heumühlgasse,13,345957
2025-08-16T00:54:09.395623,Heumühlgasse,13,345897
2025-08-16T00:54:09.395623,Heumühlgasse,13,346226
2025-08-16T00:54:09.395623,Heumühlgasse,13,346203
2025-08-16T00:54:09.395623,Heumühlgasse,13,346093
2025-08-16T00:54:09.395623,Heumühlgasse,13,346927
2025-08-16T00:54:09.395623,Heumühlgasse,13,347435
2025-08-16T00:54:09.395623,Heumühlgasse,13,347310
2025-08-16T00:54:09.395623,Heumühlgasse,13,348073
2025-08-16T00:54:09.395623,Heumühlgasse,13,348699
2025-08-16T00:54:09.395623,Heumühlgasse,13,349023
2025-08-16T00:54:09.395623,Margaretengürtel U,19,345386
